member,expression,augmentation,blue_mean,blue_std,green_mean,green_std,red_mean,red_std,intensity_mean,intensity_std,intensity_median,edge_density,lbp_mean,lbp_std
Member_1,neutral,original,155.4012997891284,71.74168112250624,162.2184793814433,83.25446013440154,171.0698143158388,84.3634360954831,164.0952706185567,81.68417677616156,197.0,0.01826850984067479,5.274934981255858,2.287205028685033
Member_1,neutral,Rotated,136.11517045454545,82.99500997825855,141.246589737582,93.34356881938858,148.92009547797562,95.5859748975182,142.9596093017807,92.36113294445681,141.0,0.01600222586691659,5.528944470477976,2.2716636114218542
Member_1,neutral,Flipped,155.4012997891284,71.74168112250624,162.2184793814433,83.25446013440158,171.0698143158388,84.36343609548305,164.0952706185567,81.68417677616156,197.0,0.018395032802249297,5.279025890346767,2.285554522985533
Member_1,neutral,Grayscale,164.0952706185567,81.68417677616156,164.0952706185567,81.68417677616156,164.0952706185567,81.68417677616156,164.0952706185567,81.68417677616156,197.0,0.01826850984067479,5.274934981255858,2.287205028685033
Member_1,neutral,Brightness,201.65686211340207,56.221806081756434,201.5425339737582,64.47486784256762,207.0548945641987,64.19229297729872,203.20927893626992,63.02379092528421,251.0,0.016159208059981257,6.124731138706654,2.22919762770696
Member_1,neutral,Blurred,155.4021567478913,71.18930201382337,162.22020970009373,82.75618040215805,171.07069646204312,83.88291252319443,164.08999238519212,81.20342777792202,196.0,0.0027261012183692596,5.8416108247422684,1.9366588252048034
Member_1,neutral,Noisy,153.73089386129334,72.84216727320528,160.26917408622305,83.0585674683488,168.37044341611997,82.98283647671596,161.94712218837864,79.75191032826905,191.0,0.2818580131208997,5.2670729850046865,3.515001979208415
Member_1,neutral,Zoomed,142.35072047797564,61.83832320681177,148.32177014995315,74.01333252261206,160.29739749297096,73.65959188291251,151.22616447985004,71.86299915738434,139.0,0.011153350515463917,4.943992502343018,1.9202993684380667
Member_1,neutral,Contrast,151.57200328022492,65.94295306881388,158.020685918463,73.48919990462748,166.78470770852857,73.56534031265261,159.90788542642923,71.94402383623552,170.0,0.17055002343017808,5.230961223055295,2.3655938485848775
Member_1,smile,original,155.46128690253045,71.70014928722028,163.8714321696345,82.69280215109282,173.2311275773196,83.54251670415599,165.71911492502343,81.10042652715096,200.0,0.024466963448922213,5.21823980787254,2.3598776722659154
Member_1,smile,Rotated,136.22502167291472,83.00047059714181,142.85061914245549,93.26862889169097,151.01254920337394,95.42251468729297,144.53939901593253,92.27281590494438,143.0,0.019555998125585755,5.484225046860356,2.328067099109789
Member_1,smile,Flipped,155.46128690253045,71.70014928722028,163.8714321696345,82.69280215109283,173.2311275773196,83.542516704156,165.71911492502343,81.10042652715096,200.0,0.024450562324273666,5.220660731021556,2.3589423440105732
Member_1,smile,Grayscale,165.71911492502343,81.10042652715096,165.71911492502343,81.10042652715096,165.71911492502343,81.10042652715096,165.71911492502343,81.10042652715096,200.0,0.024466963448922213,5.21823980787254,2.3598776722659154
Member_1,smile,Brightness,201.79684512652295,56.2736982392646,202.87888882380506,63.865624172876856,208.56472996719776,63.15596102419651,204.46162195407686,62.349790957690246,251.0,0.020759137769447048,6.051168580131209,2.278417231338998
Member_1,smile,Blurred,155.46256619025306,71.08103318669444,163.87307169634488,82.1454810801309,173.23299906279289,83.01260968115574,165.7142924086223,80.56808207294972,200.0,0.002676312089971884,5.813519212746017,1.9307153219737878
Member_1,smile,Noisy,153.7815985238988,72.77873196673315,161.83915709934396,82.4772049995221,170.41626171508904,82.24817078402758,163.4857064198688,79.17115192035841,194.0,0.28543170103092785,5.256231255857545,3.5057760205171946
Member_1,smile,Zoomed,142.37500644329896,61.90118776307587,150.11570934864105,74.07522718812741,162.72531747891284,73.45935159027535,153.00769798500468,71.84913633444911,140.0,0.01303010777881912,4.852436152764761,1.9409992462809387
Member_1,smile,Contrast,149.95076440955953,67.32187815221677,158.0087330131209,74.05918175392954,167.20373711340207,74.0045812343548,159.83982720243674,72.580018272135,171.0,0.22143041237113403,5.185785496719775,2.4073147930905074
Member_1,surprised,original,163.12374121368322,68.6396282506852,171.87989632146204,79.57813540036608,181.0050533036551,80.94259562164005,173.6178725398313,78.10679899425543,209.0,0.0200398313027179,5.324580014058107,2.310569433874921
Member_1,surprised,Rotated,143.68628045923148,82.24232868549507,150.68251405810685,92.49333155251385,158.48325562324274,95.18135587239931,152.22118615276477,91.63897900844484,178.0,0.01737640581068416,5.578328256794752,2.288286893151376
Member_1,surprised,Flipped,163.12374121368322,68.63962825068519,171.87989632146204,79.5781354003661,181.0050533036551,80.94259562164002,173.6178725398313,78.10679899425543,209.0,0.02005330365510778,5.328869493908154,2.3088979124526965
Member_1,surprised,Grayscale,173.6178725398313,78.10679899425543,173.6178725398313,78.10679899425543,173.6178725398313,78.10679899425543,173.6178725398313,78.10679899425543,209.0,0.0200398313027179,5.324580014058107,2.310569433874921
Member_1,surprised,Brightness,208.66927835051547,53.22080108324378,209.5991055529522,61.07944454706077,214.55591084817246,60.823618192459094,210.98047621836926,59.64397073659467,253.0,0.01729088566073102,6.218461223055296,2.2139397075358955
Member_1,surprised,Blurred,163.12495196813495,68.0321191832729,171.88192888940955,79.03268422184186,181.00639526710404,80.42956226295753,173.6139028819119,77.58111219663432,209.0,0.0030254217432052486,5.8844751640112465,1.936752051983929
Member_1,surprised,Noisy,161.29514468134957,69.86661716508273,169.61518041237113,79.5996738142549,177.81138179475164,79.79435466240052,171.1181964620431,76.33649483213226,203.0,0.2785485004686036,5.261190253045923,3.516447682002554
Member_1,surprised,Zoomed,150.69562148547328,61.324311782514094,158.76996426897844,74.17214818791402,170.48385895032803,74.51368532122588,161.35683165417058,72.12592197454775,149.0,0.013687910028116214,5.022255740393627,1.966571231685305
